Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Antiguitat,Nombre_turismes
2018,3,Sants-Montjuïc,16,la Bordeta,4 anys,204
2018,3,Sants-Montjuïc,17,Sants - Badal,4 anys,254
2018,3,Sants-Montjuïc,18,Sants,4 anys,476
2018,4,Les Corts,19,les Corts,4 anys,876
2018,4,Les Corts,20,la Maternitat i Sant Ramon,4 anys,371
2018,4,Les Corts,21,Pedralbes,4 anys,303
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4 anys,84
2018,5,Sarrià-Sant Gervasi,23,Sarrià,4 anys,467
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,4 anys,417
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,4 anys,489
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,4 anys,1067
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,4 anys,472
2018,6,Gràcia,28,Vallcarca i els Penitents,4 anys,248
2018,6,Gràcia,29,el Coll,4 anys,82
2018,6,Gràcia,30,la Salut,4 anys,177
2018,6,Gràcia,31,la Vila de Gràcia,4 anys,498
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,4 anys,427
2018,7,Horta-Guinardó,33,el Baix Guinardó,4 anys,295
2018,7,Horta-Guinardó,34,Can Baró,4 anys,123
2018,7,Horta-Guinardó,35,el Guinardó,4 anys,416
2018,7,Horta-Guinardó,36,la Font d'en Fargues,4 anys,168
2018,7,Horta-Guinardó,37,el Carmel,4 anys,292
2018,7,Horta-Guinardó,38,la Teixonera,4 anys,119
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,4 anys,91
2018,7,Horta-Guinardó,40,Montbau,4 anys,57
2018,7,Horta-Guinardó,41,la Vall d'Hebron,4 anys,88
2018,7,Horta-Guinardó,42,la Clota,4 anys,6
2018,7,Horta-Guinardó,43,Horta,4 anys,327
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,4 anys,298
2018,8,Nou Barris,45,Porta,4 anys,242
2018,8,Nou Barris,46,el Turó de la Peira,4 anys,126
2018,8,Nou Barris,47,Can Peguera,4 anys,14
2018,8,Nou Barris,48,la Guineueta,4 anys,195
2018,8,Nou Barris,49,Canyelles,4 anys,113
2018,8,Nou Barris,50,les Roquetes,4 anys,145
2018,8,Nou Barris,51,Verdun,4 anys,107
2018,8,Nou Barris,52,la Prosperitat,4 anys,276
2018,8,Nou Barris,53,la Trinitat Nova,4 anys,63
2018,8,Nou Barris,54,Torre Baró,4 anys,32
2018,8,Nou Barris,55,Ciutat Meridiana,4 anys,77
2018,8,Nou Barris,56,Vallbona,4 anys,12
2018,9,Sant Andreu,57,la Trinitat Vella,4 anys,101
2018,9,Sant Andreu,58,Baró de Viver,4 anys,19
2018,9,Sant Andreu,59,el Bon Pastor,4 anys,195
2018,9,Sant Andreu,60,Sant Andreu,4 anys,801
2018,9,Sant Andreu,61,la Sagrera,4 anys,374
2018,9,Sant Andreu,62,el Congrés i els Indians,4 anys,133
2018,9,Sant Andreu,63,Navas,4 anys,274
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,4 anys,422
2018,10,Sant Martí,65,el Clot,4 anys,319
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,4 anys,211
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,4 anys,171
2018,10,Sant Martí,68,el Poblenou,4 anys,410
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,4 anys,233
2018,10,Sant Martí,70,el Besòs i el Maresme,4 anys,210
2018,10,Sant Martí,71,Provençals del Poblenou,4 anys,305
2018,10,Sant Martí,72,Sant Martí de Provençals,4 anys,307
2018,10,Sant Martí,73,la Verneda i la Pau,4 anys,344
2018,99,No consta,99,No consta,4 anys,1
2018,1,Ciutat Vella,1,el Raval,5 anys,152
2018,1,Ciutat Vella,2,el Barri Gòtic,5 anys,109
2018,1,Ciutat Vella,3,la Barceloneta,5 anys,84
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5 anys,115
2018,2,Eixample,5,el Fort Pienc,5 anys,345
2018,2,Eixample,6,la Sagrada Família,5 anys,521
2018,2,Eixample,7,la Dreta de l'Eixample,5 anys,705
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,5 anys,517
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,5 anys,679
2018,2,Eixample,10,Sant Antoni,5 anys,343
2018,3,Sants-Montjuïc,11,el Poble Sec,5 anys,236
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,5 anys,89
2018,3,Sants-Montjuïc,13,la Marina de Port,5 anys,296
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,5 anys,105
2018,3,Sants-Montjuïc,15,Hostafrancs,5 anys,147
2018,3,Sants-Montjuïc,16,la Bordeta,5 anys,206
2018,3,Sants-Montjuïc,17,Sants - Badal,5 anys,255
2018,3,Sants-Montjuïc,18,Sants,5 anys,388
2018,4,Les Corts,19,les Corts,5 anys,752
2018,4,Les Corts,20,la Maternitat i Sant Ramon,5 anys,376
2018,4,Les Corts,21,Pedralbes,5 anys,279
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",5 anys,91
2018,5,Sarrià-Sant Gervasi,23,Sarrià,5 anys,441
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,5 anys,360
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,5 anys,400
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,5 anys,929
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,5 anys,394
2018,6,Gràcia,28,Vallcarca i els Penitents,5 anys,215
2018,6,Gràcia,29,el Coll,5 anys,81
2018,6,Gràcia,30,la Salut,5 anys,171
2018,6,Gràcia,31,la Vila de Gràcia,5 anys,390
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,5 anys,380
2018,7,Horta-Guinardó,33,el Baix Guinardó,5 anys,283
2018,7,Horta-Guinardó,34,Can Baró,5 anys,112
2018,7,Horta-Guinardó,35,el Guinardó,5 anys,400
2018,7,Horta-Guinardó,36,la Font d'en Fargues,5 anys,120
